4,ulloa,brown,2,true,Thu Mar 15 00:00:00 ECT 2020
1,lucy,white and brown,1,false,Wed Mar 01 00:00:00 ECT 2021
0,oscar,green,3,true,Wed Dec 01 00:00:00 ECT 2021
13762,maruja,black,3,false,Thu Mar 15 00:00:00 ECT 2022
3,lucy,white,4,false,Tue Jan 01 00:00:00 ECT 2011
2,paola,brown,1,true,Wed Jan 01 00:00:00 ECT 2003
2135,lola,green,2,false,Mon Dec 13 00:00:00 ECT 2021
356,kiara,yellow,4,false,Thu Jan 13 00:00:00 ECT 2023
190,dylan,black and white,2,false,Sun Dec 01 00:00:00 ECT 2002
53,danna,black,4,true,Wed Mar 15 00:00:00 ECT 2022
