
3,nena,green,3,true,Wed Dec 01 00:00:00 ECT 2021
13762,coky,black,4,false,Sun Mar 15 00:00:00 ECT 2020
3,grachi,yellow,4,true,Tue Dec 01 00:00:00 ECT 2020
14548,sol,purple,1,false,Wed Mar 15 00:00:00 ECT 2023
2,lola,brown,2,true,Thu Dec 01 00:00:00 ECT 2022
123,kiki,green,3,false,Mon Dec 13 00:00:00 ECT 2021
2,loli,green,3,true,Wed Dec 01 00:00:00 ECT 2021
12,kikiriki,rose,5,false,Sun Jan 13 00:00:00 ECT 2019
456,cloe,black,2,true,Thu Jan 13 00:00:00 ECT 2022
890,celia,black and green,12,false,Sun Dec 01 00:00:00 ECT 2002
